name,element,GW,assists,bonus,goals_scored,minutes,own_goals,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
Saman Ghoddos,701,8,0,0,0,45,0,0,0.0,281,1,4.5,2,0.26666666666666666
Samuel Bastien,158,8,0,0,0,0,0,0,0.0,-2028,0,4.9,0,0.0
Sander Berge,475,8,1,2,0,512,0,0,0.1,-5548,1,4.8,17,-1.916666666666666
Sandro Tonali,429,8,0,0,1,416,0,0,2.2,-46610,2,5.4,15,-1.375
Saïd Benrahma,525,8,1,0,0,334,0,0,0.5,-43097,0,5.8,14,-2.833333333333334
Saša Lukić,276,8,0,0,0,265,0,0,0.3,-12779,1,4.4,7,-0.583333333333333
Scott McTominay,392,8,0,3,2,184,0,0,0.1,2504,0,4.8,21,-0.375
Scott Twine,180,8,0,0,0,0,0,0,0.0,-2410,0,4.9,0,0.0
Sean Longstaff,421,8,2,0,1,448,0,0,0.7,48960,1,4.9,25,-6.708333333333332
Sergi Canós Tenés,95,8,0,0,0,0,0,0,0.0,-3276,0,5.0,0,0.0
Shandon Baptiste,92,8,0,0,0,18,0,0,0.9,-205261,0,4.3,1,0.0
Shea Charles,348,8,0,0,0,0,0,0,0.0,-34,0,4.5,0,0.0
Simon Adingra,122,8,1,0,2,324,0,0,0.3,-351,0,5.0,23,-2.916666666666666
Siriki Dembélé,67,8,0,0,0,0,0,0,0.0,-330,0,4.5,0,0.0
Sofyan Amrabat,709,8,0,0,0,177,0,0,0.2,14385,1,5.0,4,0.3999999999999999
Solly March,140,8,1,6,3,465,0,0,6.1,171629,0,6.3,38,-2.791666666666668
Son Heung-min,516,8,0,5,6,625,0,0,34.1,2714748,0,9.5,54,-13.916666666666664
Stefan Bajcetic,292,8,0,0,0,0,0,0,0.0,-3216,0,4.8,0,0.0
Steven Alzate,123,8,0,0,0,0,0,0,0.1,-8530,0,4.4,0,0.0
Tahith Chong,586,8,0,0,0,364,0,0,0.1,-4049,2,4.9,8,-1.625
Tanguy Ndombélé Alvaro,505,8,0,0,0,0,0,0,0.3,-30341,0,4.4,0,0.0
Thiago Alcántara do Nascimento,310,8,0,0,0,0,0,0,0.1,-16242,0,4.8,0,0.0
Thomas Partey,15,8,0,0,0,250,0,0,0.2,-24389,0,4.8,7,-0.5
Tim Iroegbunam,46,8,0,0,0,0,0,0,0.0,-2177,0,4.4,0,0.0
Tom Cairney,268,8,1,0,0,152,0,0,0.0,-497,0,4.9,9,-0.708333333333333
Tom Davies,666,8,0,0,0,57,0,0,0.0,-62,1,5.0,2,-0.2857142857142857
Tommy Doyle,351,8,0,0,0,14,0,0,0.0,561,0,4.4,2,-0.7916666666666667
Tomáš Souček,542,8,1,3,2,542,0,0,0.9,-28318,1,4.9,29,-1.25
Tyler Adams,673,8,0,0,0,0,0,0,0.0,120,0,5.0,0,0.0
Tyler Onyango,650,8,0,0,0,1,0,0,0.0,263,0,4.5,1,-0.125
Tyrese Francois,272,8,0,0,0,0,0,0,0.0,-750,0,4.4,0,0.0
Vini de Souza Costa,638,8,0,1,0,607,0,0,0.0,19,1,5.0,14,-2.5
Vitaly Janelt,105,8,1,0,0,629,0,0,0.1,-2746,1,5.4,20,-4.0
Wataru Endo,668,8,0,0,0,106,0,0,0.1,1284,0,5.5,5,-0.7142857142857144
Will Hughes,229,8,0,0,0,361,0,0,0.0,-116,2,4.9,10,-1.541666666666667
Willian Borges da Silva,591,8,1,3,1,444,0,0,0.4,-24606,1,5.3,23,-3.291666666666666
Wilson Odobert,660,8,0,0,1,101,0,0,0.0,87,1,5.0,7,0.8095238095238095
Yasin Ayari,124,8,0,0,0,0,0,0,0.0,-4005,0,4.5,0,0.0
Yegor Yarmolyuk,120,8,0,0,0,0,0,0,0.7,-15972,0,4.4,0,0.0
Youri Tielemans,58,8,0,0,0,144,0,0,0.5,-61756,0,5.7,8,-1.5
Yves Bissouma,493,8,0,0,0,660,0,0,0.6,14402,4,5.0,10,-2.75
Ângelo Gabriel Borges Damaceno,589,8,0,0,0,0,0,0,0.0,-965,0,5.0,0,0.0
