name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,value,transfers_balance,yellow_cards,total_points,mean_reversion
Eddie Nketiah,13,3,2,2,1,195,0,0,0,7.0,5.6,282798,0,18,0.0
Eddie Nketiah,13,4,2,2,2,270,0,0,0,6.9,5.6,270862,0,20,1.75
Eddie Nketiah,13,5,2,3,2,335,0,0,0,6.4,5.6,224730,0,22,-0.8000000000000007
Eddie Nketiah,13,6,2,3,4,425,0,0,0,5.6,5.5,143919,1,23,-2.666666666666668
Eddie Nketiah,13,7,2,4,4,493,0,0,0,5.4,5.5,127508,1,28,-2.80952380952381
Eddie Nketiah,13,8,2,5,4,567,0,0,0,5.2,5.5,104746,1,30,-4.083333333333332
Elijah Adebayo,314,1,0,0,1,63,0,0,0,1.1,5.0,-5139,0,2,0.0
Elijah Adebayo,314,2,0,0,1,63,0,0,0,0.9,5.0,-18622,0,2,0.0
Elijah Adebayo,314,3,0,0,3,132,0,0,0,0.8,5.0,-24796,0,4,0.0
Elijah Adebayo,314,4,0,0,4,202,0,0,0,0.8,4.9,-32397,0,6,0.8333333333333335
Elijah Adebayo,314,5,0,0,4,217,0,0,0,0.7,4.9,-37375,0,7,0.20000000000000018
Elijah Adebayo,314,6,0,0,4,222,0,0,0,0.6,4.8,-42833,0,8,-0.8333333333333339
Elijah Adebayo,314,7,2,0,5,262,0,0,0,0.6,4.8,-46753,0,16,-0.5714285714285712
Elijah Adebayo,314,8,2,0,6,328,0,0,0,0.6,4.8,-47140,0,18,-2.458333333333334
Ellis Simms,264,1,0,0,0,0,0,0,0,0.0,4.5,-242,0,0,0.0
