name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points,mean_reversion
George Shelvey,636,5,0,0,0,0,0,0,0,0.0,-463,0,4.0,0,0.0
George Shelvey,636,6,0,0,0,0,0,0,0,0.0,-541,0,4.0,0,0.0
Guglielmo Vicario,520,1,0,0,2,90,0,0,4,0.5,-1430,1,5.0,1,0.0
Guglielmo Vicario,520,2,3,1,2,180,0,0,10,1.4,62459,1,5.0,12,0.0
Guglielmo Vicario,520,3,3,2,2,270,0,0,13,3.2,199138,1,5.0,19,0.0
Guglielmo Vicario,520,4,3,2,4,360,0,0,16,5.2,360403,1,5.1,21,2.583333333333334
Guglielmo Vicario,520,5,3,2,5,450,0,0,20,5.8,410640,1,5.1,24,-1.9333333333333318
Guglielmo Vicario,520,6,3,2,7,540,0,0,24,5.5,386211,1,5.1,26,-4.166666666666664
Hugo Lloris,502,1,0,0,0,0,0,0,0,0.8,-4615,0,5.0,0,0.0
Hugo Lloris,502,2,0,0,0,0,0,0,0,0.7,-13219,0,5.0,0,0.0
Hugo Lloris,502,3,0,0,0,0,0,0,0,0.7,-16936,0,4.9,0,0.0
Hugo Lloris,502,4,0,0,0,0,0,0,0,0.7,-21870,0,4.9,0,0.0
Hugo Lloris,502,5,0,0,0,0,0,0,0,0.7,-24428,0,4.9,0,0.0
Hugo Lloris,502,6,0,0,0,0,0,0,0,0.6,-27729,0,4.9,0,0.0
Ionuț Radu,607,1,0,0,0,0,0,0,0,0.1,-506,0,4.5,0,0.0
Ionuț Radu,607,2,0,0,0,0,0,0,0,0.1,-1338,0,4.5,0,0.0
Ionuț Radu,607,3,0,0,0,0,0,0,0,0.1,-1792,0,4.5,0,0.0
Ionuț Radu,607,4,0,0,0,0,0,0,0,0.1,-2336,0,4.4,0,0.0
Ionuț Radu,607,5,0,0,0,0,0,0,0,0.1,-2622,0,4.4,0,0.0
Ionuț Radu,607,6,0,0,0,0,0,0,0,0.1,-2921,0,4.4,0,0.0
Jack Walton,338,1,0,0,0,0,0,0,0,0.0,-132,0,4.0,0,0.0
Jack Walton,338,2,0,0,0,0,0,0,0,0.0,-276,0,4.0,0,0.0
Jack Walton,338,3,0,0,0,0,0,0,0,0.0,-340,0,4.0,0,0.0
Jack Walton,338,4,0,0,0,0,0,0,0,0.0,-427,0,4.0,0,0.0
Jack Walton,338,5,0,0,0,0,0,0,0,0.0,-476,0,4.0,0,0.0
Jack Walton,338,6,0,0,0,0,0,0,0,0.0,-519,0,4.0,0,0.0
James Shea,335,1,0,0,0,0,0,0,0,0.2,-1240,0,4.5,0,0.0
James Shea,335,2,0,0,0,0,0,0,0,0.2,-3178,0,4.5,0,0.0
James Shea,335,3,0,0,0,0,0,0,0,0.2,-4024,0,4.5,0,0.0
James Shea,335,4,0,0,0,0,0,0,0,0.2,-5132,0,4.4,0,0.0
James Shea,335,5,0,0,0,0,0,0,0,0.2,-5711,0,4.4,0,0.0
James Shea,335,6,0,0,0,0,0,0,0,0.2,-6417,0,4.4,0,0.0
James Trafford,596,1,0,0,3,90,0,0,5,1.1,313,0,4.5,2,0.0
James Trafford,596,2,0,0,3,90,0,0,5,1.0,-3267,0,4.5,2,0.0
James Trafford,596,3,0,0,6,180,0,0,8,1.0,-5584,0,4.5,4,0.0
James Trafford,596,4,0,0,11,270,0,0,13,1.0,-9070,0,4.5,5,0.5833333333333335
James Trafford,596,5,0,0,12,360,0,0,16,0.9,-11127,1,4.5,7,0.3333333333333335
James Trafford,596,6,0,0,13,450,0,0,19,1.0,-10332,1,4.5,10,-0.33333333333333304
Jason Steele,148,1,0,0,1,90,0,0,2,5.8,-3322,0,4.5,2,0.0
Jason Steele,148,2,0,0,2,180,0,0,6,5.3,-32918,0,4.5,5,0.0
Jason Steele,148,3,0,0,2,180,0,0,6,4.9,-70914,0,4.5,5,0.0
Jason Steele,148,4,0,0,2,180,0,0,6,4.1,-137297,0,4.4,5,0.25
Jason Steele,148,5,0,0,3,270,0,0,9,3.7,-178619,0,4.4,8,0.0
Jason Steele,148,6,0,0,3,270,0,0,9,3.5,-198386,0,4.4,8,-0.5
Joe Whitworth,243,1,0,0,0,0,0,0,0,1.4,1204,0,4.0,0,0.0
Joe Whitworth,243,2,0,0,0,0,0,0,0,1.4,659,0,4.0,0,0.0
Joe Whitworth,243,3,0,0,0,0,0,0,0,1.3,-931,0,4.0,0,0.0
Joe Whitworth,243,4,0,0,0,0,0,0,0,1.3,-5183,0,4.0,0,0.0
Joe Whitworth,243,5,0,0,0,0,0,0,0,1.2,-6373,0,4.0,0,0.0
Joe Whitworth,243,6,0,0,0,0,0,0,0,1.2,-8737,0,4.0,0,0.0
Jordan Amissah,472,1,0,0,0,0,0,0,0,0.4,-437,0,4.0,0,0.0
Jordan Amissah,472,2,0,0,0,0,0,0,0,0.3,-2364,0,4.0,0,0.0
Jordan Amissah,472,3,0,0,0,0,0,0,0,0.3,-3791,0,4.0,0,0.0
Jordan Amissah,472,4,0,0,0,0,0,0,0,0.3,-5289,0,4.0,0,0.0
Jordan Amissah,472,5,0,0,0,0,0,0,0,0.3,-6255,0,4.0,0,0.0
Jordan Amissah,472,6,0,0,0,0,0,0,0,0.3,-7356,0,4.0,0,0.0
Jordan Pickford,263,1,0,0,1,90,0,0,1,15.2,-22356,0,4.5,2,0.0
Jordan Pickford,263,2,0,0,5,180,0,0,4,13.3,-138679,1,4.5,2,0.0
Jordan Pickford,263,3,0,0,6,270,0,0,6,12.4,-213087,1,4.5,4,0.0
Jordan Pickford,263,4,0,0,8,360,1,0,12,11.2,-308355,1,4.5,5,0.5833333333333335
Jordan Pickford,263,5,0,0,9,450,1,0,15,10.3,-400470,1,4.4,8,0.5333333333333337
Jordan Pickford,263,6,0,0,10,540,1,0,16,9.7,-455812,1,4.4,10,-0.5
Joseph Anang,647,1,0,0,0,0,0,0,0,0.0,287,0,4.0,0,0.0
Joseph Anang,647,2,0,0,0,0,0,0,0,0.0,713,0,4.0,0,0.0
Joseph Anang,647,3,0,0,0,0,0,0,0,0.0,839,0,4.0,0,0.0
Joseph Anang,647,4,0,0,0,0,0,0,0,0.0,1071,0,4.0,0,0.0
Joseph Anang,647,5,0,0,0,0,0,0,0,0.0,1201,0,4.0,0,0.0
Joseph Anang,647,6,0,0,0,0,0,0,0,0.0,1265,0,4.0,0,0.0
José Malheiro de Sá,569,1,0,0,1,90,0,0,2,1.1,-1339,0,5.0,2,0.0
José Malheiro de Sá,569,2,0,0,5,180,0,0,6,1.1,-5190,0,5.0,3,0.0
José Malheiro de Sá,569,3,3,1,5,270,0,0,13,1.2,959,0,5.0,14,0.0
José Malheiro de Sá,569,4,3,1,8,360,0,0,20,1.4,10984,0,5.0,17,2.666666666666667
José Malheiro de Sá,569,5,3,1,11,450,0,0,23,1.5,18754,0,5.0,19,-0.3333333333333339
José Malheiro de Sá,569,6,3,1,12,540,0,0,26,1.7,35067,0,5.0,22,-3.833333333333334
João Neves Virgínia,266,1,0,0,0,0,0,0,0,0.6,-1027,0,4.0,0,0.0
João Neves Virgínia,266,2,0,0,0,0,0,0,0,0.5,-5813,0,4.0,0,0.0
João Neves Virgínia,266,3,0,0,0,0,0,0,0,0.5,-8813,0,4.0,0,0.0
João Neves Virgínia,266,4,0,0,0,0,0,0,0,0.4,-12461,0,4.0,0,0.0
João Neves Virgínia,266,5,0,0,0,0,0,0,0,0.5,-7589,0,3.9,0,0.0
João Neves Virgínia,266,6,0,0,0,0,0,0,0,0.7,10644,0,3.9,0,0.0
Karl Darlow,408,1,0,0,0,0,0,0,0,0.0,-188,0,4.0,0,0.0
Karl Darlow,408,2,0,0,0,0,0,0,0,0.0,-404,0,4.0,0,0.0
Karl Darlow,408,3,0,0,0,0,0,0,0,0.0,-479,0,4.0,0,0.0
Karl Darlow,408,4,0,0,0,0,0,0,0,0.0,-588,0,4.0,0,0.0
Karl Darlow,408,5,0,0,0,0,0,0,0,0.0,-635,0,4.0,0,0.0
Karl Darlow,408,6,0,0,0,0,0,0,0,0.0,-686,0,4.0,0,0.0
Karl Hein,646,1,0,0,0,0,0,0,0,0.0,91,0,4.0,0,0.0
Karl Hein,646,2,0,0,0,0,0,0,0,0.0,360,0,4.0,0,0.0
Karl Hein,646,3,0,0,0,0,0,0,0,0.0,504,0,4.0,0,0.0
Karl Hein,646,4,0,0,0,0,0,0,0,0.0,747,0,4.0,0,0.0
Karl Hein,646,5,0,0,0,0,0,0,0,0.0,877,0,4.0,0,0.0
Karl Hein,646,6,0,0,0,0,0,0,0,0.0,918,0,4.0,0,0.0
Kepa Arrizabalaga,187,1,0,0,0,0,0,0,0,0.9,-20301,0,5.0,0,0.0
Kepa Arrizabalaga,187,2,0,0,0,0,0,0,0,0.5,-55890,0,5.0,0,0.0
Kepa Arrizabalaga,187,3,0,0,0,0,0,0,0,0.4,-64404,0,5.0,0,0.0
Kepa Arrizabalaga,187,4,0,0,0,0,0,0,0,0.3,-71817,0,5.0,0,0.0
Kepa Arrizabalaga,187,5,0,0,0,0,0,0,0,0.3,-74564,0,5.0,0,0.0
Kepa Arrizabalaga,187,6,0,0,0,0,0,0,0,0.3,-76878,0,5.0,0,0.0
Kjell Scherpen,147,1,0,0,0,0,0,0,0,0.0,-10,0,4.0,0,0.0
Kjell Scherpen,147,2,0,0,0,0,0,0,0,0.0,-19,0,4.0,0,0.0
Kjell Scherpen,147,3,0,0,0,0,0,0,0,0.0,-20,0,4.0,0,0.0
Kjell Scherpen,147,4,0,0,0,0,0,0,0,0.0,-22,0,4.0,0,0.0
Kjell Scherpen,147,5,0,0,0,0,0,0,0,0.0,-26,0,4.0,0,0.0
Kjell Scherpen,147,6,0,0,0,0,0,0,0,0.0,-27,0,4.0,0,0.0
Lawrence Vigouroux,181,1,0,0,0,0,0,0,0,0.3,-238,0,4.0,0,0.0
Lawrence Vigouroux,181,2,0,0,0,0,0,0,0,0.2,-1161,0,4.0,0,0.0
